adult,genres,id,imdb_id,overview,tagline,title,vote_average,vote_count,release_year,imdb_url
0,Animation Comedy Family,862,tt0114709,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",,Toy Story,7.7,5415.0,1995,https://www.imdb.com/title/tt0114709/
0,Adventure Fantasy Family,8844,tt0113497,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",Roll the dice and unleash the excitement!,Jumanji,6.9,2413.0,1995,https://www.imdb.com/title/tt0113497/
0,Comedy,11862,tt0113041,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,5.7,173.0,1995,https://www.imdb.com/title/tt0113041/
0,Action Crime Drama Thriller,949,tt0113277,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",A Los Angeles Crime Saga,Heat,7.7,1886.0,1995,https://www.imdb.com/title/tt0113277/
0,Comedy Romance,11860,tt0114319,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",You are cordially invited to the most surprising merger of the year.,Sabrina,6.2,141.0,1995,https://www.imdb.com/title/tt0114319/
0,Adventure Action Thriller,710,tt0113189,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,No limits. No fears. No substitutes.,GoldenEye,6.6,1194.0,1995,https://www.imdb.com/title/tt0113189/
0,Comedy Drama Romance,9087,tt0112346,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",Why can't the most powerful man in the world have the one thing he wants most?,The American President,6.5,199.0,1995,https://www.imdb.com/title/tt0112346/
0,Comedy Horror,12110,tt0112896,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",,Dracula: Dead and Loving It,5.7,210.0,1995,https://www.imdb.com/title/tt0112896/
0,Family Animation Adventure,21032,tt0112453,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Part Dog. Part Wolf. All Hero.,Balto,7.1,423.0,1995,https://www.imdb.com/title/tt0112453/
0,Action Adventure,1408,tt0112760,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,137.0,1995,https://www.imdb.com/title/tt0112760/
0,Drama Crime,524,tt0112641,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,No one stays at the top forever.,Casino,7.8,1343.0,1995,https://www.imdb.com/title/tt0112641/
0,Drama Romance,4584,tt0114388,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",Lose your heart and come to your senses.,Sense and Sensibility,7.2,364.0,1995,https://www.imdb.com/title/tt0114388/
0,Crime Comedy,5,tt0113101,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,539.0,1995,https://www.imdb.com/title/tt0113101/
0,Crime Comedy Adventure,9273,tt0112281,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,6.1,1128.0,1995,https://www.imdb.com/title/tt0112281/
